name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Aachen,1,Valid,L5,21,Fell,01/01/1880 00:00:00,50.775,6.08333,"(50.775000, 6.083330)"
Aarhus,2,Valid,H6,720,Fell,01/01/1951 00:00:00,56.18333,10.23333,"(56.183330, 10.233330)"
Abee,6,Valid,EH4,107000,Fell,01/01/1952 00:00:00,54.21667,-113,"(54.216670, -113.000000)"
Acapulco,10,Valid,Acapulcoite,1914,Fell,01/01/1976 00:00:00,16.88333,-99.9,"(16.883330, -99.900000)"
Achiras,370,Valid,L6,780,Fell,01/01/1902 00:00:00,-33.16667,-64.95,"(-33.166670, -64.950000)"
Adhi Kot,379,Valid,EH4,4239,Fell,01/01/1919 00:00:00,32.1,71.8,"(32.100000, 71.800000)"
Adzhi-Bogdo (stone),390,Valid,LL3-6,910,Fell,01/01/1949 00:00:00,44.83333,95.16667,"(44.833330, 95.166670)"
Agen,392,Valid,H5,30000,Fell,01/01/1814 00:00:00,44.21667,0.61667,"(44.216670, 0.616670)"
Aguada,398,Valid,L6,1620,Fell,01/01/1930 00:00:00,-31.6,-65.23333,"(-31.600000, -65.233330)"
Aguila Blanca,417,Valid,L,1440,Fell,01/01/1920 00:00:00,-30.86667,-64.55,"(-30.866670, -64.550000)"
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,01/01/1974 00:00:00,16.39806,-9.57028,"(16.398060, -9.570280)"
Aïr,424,Valid,L6,24000,Fell,01/01/1925 00:00:00,19.08333,8.38333,"(19.083330, 8.383330)"
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,01/01/1769 00:00:00,50.66667,2.33333,"(50.666670, 2.333330)"
Akaba,426,Valid,L6,779,Fell,01/01/1949 00:00:00,29.51667,35.05,"(29.516670, 35.050000)"
Akbarpur,427,Valid,H4,1800,Fell,01/01/1838 00:00:00,29.71667,77.95,"(29.716670, 77.950000)"
Akwanga,432,Valid,H,3000,Fell,01/01/1959 00:00:00,8.91667,8.43333,"(8.916670, 8.433330)"
Akyumak,433,Valid,"Iron, IVA",50000,Fell,01/01/1981 00:00:00,39.91667,42.81667,"(39.916670, 42.816670)"
Al Rais,446,Valid,CR2-an,160,Fell,01/01/1957 00:00:00,24.41667,39.51667,"(24.416670, 39.516670)"
Al Zarnkh,447,Valid,LL5,700,Fell,01/01/2001 00:00:00,13.66033,28.96,"(13.660330, 28.960000)"
Alais,448,Valid,CI1,6000,Fell,01/01/1806 00:00:00,44.11667,4.08333,"(44.116670, 4.083330)"
Albareto,453,Valid,L/LL4,2000,Fell,01/01/1766 00:00:00,44.65,11.01667,"(44.650000, 11.016670)"
Alberta,454,Valid,L,625,Fell,01/01/1949 00:00:00,2,22.66667,"(2.000000, 22.666670)"
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,01/01/2002 00:00:00,45.82133,6.01533,"(45.821330, 6.015330)"
Aldsworth,461,Valid,LL5,700,Fell,01/01/1835 00:00:00,51.78333,-1.78333,"(51.783330, -1.783330)"
Aleppo,462,Valid,L6,3200,Fell,01/01/1873 00:00:00,36.23333,37.13333,"(36.233330, 37.133330)"
Alessandria,463,Valid,H5,908,Fell,01/01/1860 00:00:00,44.88333,8.75,"(44.883330, 8.750000)"
Alexandrovsky,465,Valid,H4,9251,Fell,01/01/1900 00:00:00,50.95,31.81667,"(50.950000, 31.816670)"
Alfianello,466,Valid,L6,228000,Fell,01/01/1883 00:00:00,45.26667,10.15,"(45.266670, 10.150000)"
Allegan,2276,Valid,H5,32000,Fell,01/01/1899 00:00:00,42.53333,-85.88333,"(42.533330, -85.883330)"
Allende,2278,Valid,CV3,2000000,Fell,01/01/1969 00:00:00,26.96667,-105.31667,"(26.966670, -105.316670)"
Almahata Sitta,48915,Valid,Ureilite-an,3950,Fell,01/01/2008 00:00:00,20.74575,32.41275,"(20.745750, 32.412750)"
Alta'ameem,2284,Valid,LL5,6000,Fell,01/01/1977 00:00:00,35.27333,44.21556,"(35.273330, 44.215560)"
Ambapur Nagla,2290,Valid,H5,6400,Fell,01/01/1895 00:00:00,27.66667,78.25,"(27.666670, 78.250000)"
Andhara,2294,Valid,Stone-uncl,2700,Fell,01/01/1880 00:00:00,26.58333,85.56667,"(26.583330, 85.566670)"
Andover,2295,Valid,L6,3200,Fell,01/01/1898 00:00:00,44.61667,-70.75,"(44.616670, -70.750000)"
Andreevka,2296,Valid,L3,600,Fell,01/01/1969 00:00:00,48.7,37.5,"(48.700000, 37.500000)"
Andura,2298,Valid,H6,17900,Fell,01/01/1939 00:00:00,20.88333,76.86667,"(20.883330, 76.866670)"
Northwest Africa 5815,50693,Valid,L5,256.8,Found,,0,0,"(0.000000, 0.000000)"
Angers,2301,Valid,L6,,Fell,01/01/1822 00:00:00,47.46667,-0.55,"(47.466670, -0.550000)"
Angra dos Reis (stone),2302,Valid,Angrite,1500,Fell,01/01/1869 00:00:00,-22.96667,-44.31667,"(-22.966670, -44.316670)"
Ankober,2304,Valid,H4,6500,Fell,01/01/1942 00:00:00,9.53333,39.71667,"(9.533330, 39.716670)"
Anlong,2305,Valid,H5,2500,Fell,01/01/1971 00:00:00,25.15,105.18333,"(25.150000, 105.183330)"
Aomori,2313,Valid,L6,320,Fell,01/01/1984 00:00:00,40.81056,140.78556,"(40.810560, 140.785560)"
Appley Bridge,2318,Valid,LL6,15000,Fell,01/01/1914 00:00:00,53.58333,-2.71667,"(53.583330, -2.716670)"
Apt,2320,Valid,L6,3200,Fell,01/01/1803 00:00:00,43.86667,5.38333,"(43.866670, 5.383330)"
Arbol Solo,2325,Valid,H5,810,Fell,01/01/1954 00:00:00,-33,-66,"(-33.000000, -66.000000)"
Archie,2329,Valid,H6,5070,Fell,01/01/1932 00:00:00,38.5,-94.3,"(38.500000, -94.300000)"
Arroyo Aguiar,2340,Valid,H5,7450,Fell,01/01/1950 00:00:00,-31.41667,-60.66667,"(-31.416670, -60.666670)"
Asco,2345,Valid,H6,41,Fell,01/01/1805 00:00:00,42.45,9.03333,"(42.450000, 9.033330)"
Ash Creek,48954,Valid,L6,9500,Fell,01/01/2009 00:00:00,31.805,-97.01,"(31.805000, -97.010000)"
Ashdon,2346,Valid,L6,1300,Fell,01/01/1923 00:00:00,52.05,0.3,"(52.050000, 0.300000)"
Assisi,2353,Valid,H5,2000,Fell,01/01/1886 00:00:00,43.03333,12.55,"(43.033330, 12.550000)"
Atarra,4883,Valid,L4,1280,Fell,01/01/1920 00:00:00,25.25417,80.625,"(25.254170, 80.625000)"
Atemajac,4884,Valid,L6,94.2,Fell,01/01/1896 00:00:00,20.06667,-103.66667,"(20.066670, -103.666670)"
Athens,4885,Valid,LL6,265,Fell,01/01/1933 00:00:00,34.75,-87,"(34.750000, -87.000000)"
Atoka,4888,Valid,L6,1384.2,Fell,01/01/1945 00:00:00,34.31667,-96.15,"(34.316670, -96.150000)"
Aubres,4893,Valid,Aubrite,800,Fell,01/01/1836 00:00:00,44.38333,5.16667,"(44.383330, 5.166670)"
Aumale,4899,Valid,L6,50000,Fell,01/01/1865 00:00:00,36.16667,3.66667,"(36.166670, 3.666670)"
Aumieres,4900,Valid,L6,2000,Fell,01/01/1842 00:00:00,44.33333,3.23333,"(44.333330, 3.233330)"
Ausson,4903,Valid,L5,50000,Fell,01/01/1858 00:00:00,43.08333,0.58333,"(43.083330, 0.583330)"
Avanhandava,4905,Valid,H4,9330,Fell,01/01/1952 00:00:00,-21.46028,-49.95083,"(-21.460280, -49.950830)"
Avce,4906,Valid,"Iron, IIAB",1230,Fell,01/01/1908 00:00:00,46,13.5,"(46.000000, 13.500000)"
Avilez,4907,Valid,H,146,Fell,01/01/1855 00:00:00,25,-103.5,"(25.000000, -103.500000)"
Awere,4910,Valid,L4,134,Fell,01/01/1968 00:00:00,2.71667,32.83333,"(2.716670, 32.833330)"
Aztec,4913,Valid,L6,2830,Fell,01/01/1938 00:00:00,36.8,-108,"(36.800000, -108.000000)"
Bachmut,4917,Valid,L6,18000,Fell,01/01/1814 00:00:00,48.6,38,"(48.600000, 38.000000)"
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322,Fell,01/01/1934 00:00:00,28.48333,78.5,"(28.483330, 78.500000)"
Bald Mountain,4925,Valid,L4,3700,Fell,01/01/1929 00:00:00,35.96667,-82.48333,"(35.966670, -82.483330)"
Baldwyn,4926,Valid,L6,345,Fell,01/01/1922 00:00:00,34.5,-88.66667,"(34.500000, -88.666670)"
Bali,4928,Valid,CV3,1000,Fell,01/01/1907 00:00:00,5.38333,16.38333,"(5.383330, 16.383330)"
Ban Rong Du,4934,Valid,"Iron, ungrouped",16700,Fell,01/01/1993 00:00:00,16.66667,101.18333,"(16.666670, 101.183330)"
Bandong,4935,Valid,LL6,11500,Fell,01/01/1871 00:00:00,-6.91667,107.6,"(-6.916670, 107.600000)"
Bansur,4936,Valid,L6,15000,Fell,01/01/1892 00:00:00,27.7,76.33333,"(27.700000, 76.333330)"
Banswal,4937,Valid,L5,14,Fell,01/01/1913 00:00:00,30.4,78.2,"(30.400000, 78.200000)"
Banten,4938,Valid,CM2,629,Fell,01/01/1933 00:00:00,-6.33333,106,"(-6.333330, 106.000000)"
Barbotan,4942,Valid,H5,6400,Fell,01/01/1790 00:00:00,43.95,-0.05,"(43.950000, -0.050000)"
Barcelona (stone),4944,Valid,OC,,Fell,01/01/1704 00:00:00,41.36667,2.16667,"(41.366670, 2.166670)"
Barea,4946,Valid,Mesosiderite-A1,3200,Fell,01/01/1842 00:00:00,42.38333,-2.5,"(42.383330, -2.500000)"
Barnaul,4947,Valid,H5,23.2,Fell,01/01/1904 00:00:00,52.73333,84.08333,"(52.733330, 84.083330)"
Barntrup,4948,Valid,LL4,17,Fell,01/01/1886 00:00:00,52,9.1,"(52.000000, 9.100000)"
Baroti,4949,Valid,L6,4500,Fell,01/01/1910 00:00:00,31.61667,76.8,"(31.616670, 76.800000)"
Barwell,4954,Valid,L5,44000,Fell,01/01/1965 00:00:00,52.56528,-1.33972,"(52.565280, -1.339720)"
Bassikounou,44876,Valid,H5,29560,Fell,01/01/2006 00:00:00,15.78333,-5.9,"(15.783330, -5.900000)"
Baszkówka,4957,Valid,L5,15500,Fell,01/01/1994 00:00:00,52.03333,20.93583,"(52.033330, 20.935830)"
Bath,4974,Valid,H4,21000,Fell,01/01/1892 00:00:00,45.41667,-98.31667,"(45.416670, -98.316670)"
Bath Furnace,4975,Valid,L6,86000,Fell,01/01/1902 00:00:00,38.25,-83.75,"(38.250000, -83.750000)"
Battle Mountain,56133,Valid,L6,2900,Fell,01/01/2012 00:00:00,40.66813,-117.18913,"(40.668130, -117.189130)"
Bawku,4976,Valid,LL5,1557,Fell,01/01/1989 00:00:00,11.08333,-0.18333,"(11.083330, -0.183330)"
Baxter,4977,Valid,L6,611,Fell,01/01/1916 00:00:00,36.75,-93.5,"(36.750000, -93.500000)"
Beardsley,4984,Valid,H5,16000,Fell,01/01/1929 00:00:00,39.8,-101.2,"(39.800000, -101.200000)"
Beaver Creek,4986,Valid,H5,14000,Fell,01/01/1893 00:00:00,51.16667,-117.33333,"(51.166670, -117.333330)"
Beddgelert,4993,Valid,H5,794,Fell,01/01/1949 00:00:00,53.01667,-4.1,"(53.016670, -4.100000)"
Bells,5005,Valid,C2-ung,375,Fell,01/01/1961 00:00:00,33.6,-96.46667,"(33.600000, -96.466670)"
Belville,5009,Valid,OC,,Fell,01/01/1937 00:00:00,-32.33333,-64.86667,"(-32.333330, -64.866670)"
Benares (a),5011,Valid,LL4,3700,Fell,01/01/1798 00:00:00,25.36667,82.91667,"(25.366670, 82.916670)"
Benguerir,30443,Valid,LL6,25000,Fell,01/01/2004 00:00:00,32.25,-8.15,"(32.250000, -8.150000)"
Beni M'hira,5018,Valid,L6,19000,Fell,01/01/2001 00:00:00,32.86667,10.8,"(32.866670, 10.800000)"
Benld,5021,Valid,H6,1770.5,Fell,01/01/1938 00:00:00,39.08333,-89.15,"(39.083330, -89.150000)"
